Location,Latitude,Longitude
dover-foxcroft,45.19,-69.22
milo,45.25,-68.98
wellington,,
dover,,
atkinson mills,,
east dover,,
ellsworth,44.58,-68.49
franklin,,
penobscot,,
north penobscot,,
blue hill,44.41,-68.59
north blue hill,,
north ellsworth,,
west ellsworth,,
orland,,
east orland,,
mariaville,,
sedgwick,,
hancock,,
eden (bar harbor),,
amherst,,
mercer,,
fairfield,44.59,-69.61
brighton,,
moscow,,
starks,,
north anson,,
anson,44.8,-69.9
north cornville,,
cornville,,
west athens,,
athens,,
solon,,
ripley,,
canaan,,
skowhegan,44.77,-69.71
embden station,,
new portland,,
acton,,
south waterboro,,
waterboro,,
sanford,43.44,-70.78
kennebunkport,43.36,-70.46
goodwin's mills,,
kennebunk,43.38,-70.54
buxton,,
limerick,,
south berwick,,
biddeford,43.44,-70.4
saco,43.52,-70.42
cherryfield,,
weld,,
farmington,44.67,-70.15
phillips,,
strong,,
jay,,
north jay,,
topsham,43.94,-69.94
richmond,44.11,-69.81
woolwich,,
bath,43.93,-69.83
nobleboro,,
bristol,,
dresden,,
damariscotta,44.02,-69.52
warren,,
rockland,44.13,-69.13
boothbay,,
garland,,
dexter,45.02,-69.29
etna,,
east eddington,,
exeter,,
bangor,44.83,-68.79
dixmont,,
dixmont centre,,
patten,,
lewiston,44.09,-70.17
livermore falls,44.47,-70.18
"steven's mills, auburn",,
north livermore,,
east livermore,,
poland,,
leeds,,
mechanic falls,44.11,-70.39
turner,,
north turner,,
turner center,,
durham,,
west minot,,
wales,,
lisbon,,
greene,,
freeport,43.86,-70.1
upper new gloucester,,
standish,43.74,-70.55
gorham,43.68,-70.44
bridgton,44.07,-70.71
scarborough,43.6,-70.34
baldwin,,
west baldwin,,
cumberland,,
west cumberland,,
denmark,,
naples,43.96,-70.6
ede's falls,,
harrison,,
south harrison,,
portland,43.65,-70.17
presque isle,46.69,-67.99
fort fairfield,46.77,-67.83
sherman mills,,
mapleton,46.68,-68.15
bethel,,
fryeburg,44.02,-70.97
bolsters mills,,
otisfield,,
hartford centre,,
dixfield,44.54,-70.45
andover,,
east hebron,,
hebron,,
north buckfield,,
paris hill,,
west paris,,
canton,,
bryant pond,,
thomaston,44.08,-69.18
camden,44.21,-69.07
rockport,,
north haven,,
union,,
south hope,,
washington,,
hope,,
appleton,,
st. george,,
riverside,,
east vassalboro,,
monmouth,,
waterville,44.54,-69.66
augusta,44.33,-69.73
sidney,,
winslow,44.53,-69.58
oakland,44.55,-69.71
gardiner,44.19,-69.79
litchfield,,
pittston,,
windsor,,
readfield,,
rome,,
fayette,,
west gardiner,,
manchester,,
wayne,,
north augusta,,
winthrop,44.31,-69.96
belgrade,,
vassalboro,,
chelsea,,
east knox,,
belfast,44.43,-69.03
belmont,,
freedom,,
prospect,,
lincolnville,,
jackson,,
brooks,,
winterport,44.65,-68.86
monroe,,
